Region;Production;Consumption
Total North America;1204;1099
Total CIS;806;551
Total Middle East;721;561
Total Asia Pacific;681;907
Total Africa;249;163
Total Europe;220;499
Total S. & Cent. America;162;162
US;979;881
Russian Federation;618;408
Iran;259;229
China;222;376
Canada;185;122
Qatar;178;37
Australia;153;42
Norway;123;4
Saudi Arabia;120;120
Algeria;98;44
Malaysia;82;49
Turkmenistan;78;38
Egypt;65;61
United Arab Emirates;58;70
Indonesia;58;37
Uzbekistan;49;48
Oman;42;29
Argentina;42;46
Mexico;40;97
Nigeria;40;
United Kingdom;38;72
Azerbaijan;34;12
India;30;58
Thailand;26;44
Brazil;23;32
Germany;4;77
Italy;3;65
Japan;;101
South Korea;;62
Turkey;;51
France;;38
Pakistan;;38
Spain;;33
