Страна;Добыча;Потребление
Total Middle East;1441,6;413,8
Total North America;1131,1;1016,2
Total CIS;682,6;208,2
Total Asia Pacific;345,6;1615,2
Total Africa;332,3;192,3
Total S. & Cent. America;326,5;285,8
Total Europe;147,6;663,3
US;759,5;822,7
Saudi Arabia;573,1;166,0
Russian Federation;548,5;161,5
Canada;274,0;98,2
Iraq;221,3;37,0
China;204,7;659,2
United Arab Emirates;181,1;50,3
Iran;176,5;84,0
Brazil;163,1;116,0
Kuwait;145,7;18,4
Mexico;97,7;95,4
Norway;89,0;8,4
Kazakhstan;84,1;17,7
Qatar;74,1;12,3
Nigeria;69,0;
Algeria;63,6;19,6
Angola;57,8;
Oman;51,4;10,3
Libya;51,0;
Colombia;39,7;21,9
Venezuela;37,3;12,2
United Kingdom;36,2;61,2
Azerbaijan;33,3;5,7
India;33,0;236,9
Argentina;32,8;31,9
Indonesia;31,4;69,7
Egypt;29,9;34,9
Malaysia;25,5;39,4
Australia;17,5;47,3
Thailand;11,6;53,8
Italy;4,5;57,2
Germany;;97,3
France;;66,9
Netherlands;;40,7
Poland;;33,6
Turkey;;49,7
Japan;;151,8
Singapore;;63,0
South Korea;;123,7
Taiwan;;40,2
