;MOEX Brent Settlement;ICE Brent Settlement Price;DME Oman Crude Marker price;WTI Settlement
03.01.2017;;55.47;55.04;52.33
06.01.2017;;57.10;54.98;53.99
09.01.2017;;54.94;54.99;51.96
10.01.2017;;53.64;53.40;50.82
11.01.2017;;55.10;52.20;52.25
12.01.2017;;56.01;53.72;53.01
13.01.2017;;55.45;54.38;52.37
16.01.2017;;55.86;53.72;52.37
17.01.2017;;55.47;54.22;52.48
18.01.2017;;53.92;54.21;51.08
19.01.2017;;54.16;53.18;51.37
20.01.2017;;55.49;52.98;52.42
23.01.2017;;55.23;53.60;52.75
24.01.2017;;51.60;51.33;49.23
24.01.2017;;55.44;54.10;53.18
25.01.2017;;55.08;53.60;52.75
26.01.2017;;56.24;54.07;53.78
27.01.2017;;55.52;54.40;53.17
30.01.2017;;55.23;53.43;52.63
31.01.2017;;55.70;53.26;52.81
01.02.2017;;56.80;53.80;53.88
02.02.2017;;56.56;55.41;53.54
03.02.2017;;56.81;55.91;53.83
06.02.2017;;55.72;55.88;53.01
07.02.2017;;55.05;54.76;52.17
08.02.2017;;55.12;53.65;52.34
09.02.2017;;55.63;54.58;53.00
10.02.2017;;56.70;54.59;53.86
13.02.2017;;55.59;55.45;52.93
14.02.2017;;55.97;55.06;53.20
15.02.2017;;55.75;54.87;53.11
16.02.2017;;55.65;55.14;53.36
17.02.2017;;55.81;55.16;53.40
20.02.2017;;56.18;55.43;53.40
21.02.2017;;56.66;55.56;54.06
24.02.2017;;55.99;55.54;53.99
27.02.2017;;55.93;55.56;54.05
28.02.2017;;55.59;55.12;54.01
01.03.2017;;56.36;55.60;53.83
02.03.2017;;55.08;55.36;52.61
03.03.2017;;55.90;54.27;53.33
06.03.2017;;56.01;54.31;53.20
08.03.2017;;53.11;54.39;50.28
09.03.2017;;52.19;52.74;49.28
10.03.2017;;51.37;51.32;48.49
13.03.2017;;51.35;50.19;48.40
14.03.2017;;50.92;50.07;47.72
15.03.2017;;51.81;50.41;48.86
16.03.2017;;51.74;51.14;48.75
17.03.2017;;51.76;50.63;48.78
20.03.2017;;51.62;50.42;48.22
21.03.2017;;50.96;50.93;47.34
22.03.2017;;50.64;49.74;48.04
23.03.2017;;50.56;49.87;47.70
24.03.2017;;50.80;49.67;47.97
27.03.2017;;50.75;49.51;47.73
28.03.2017;;51.33;49.89;48.37
29.03.2017;;52.42;50.76;49.51
30.03.2017;;52.96;51.10;50.35
31.03.2017;;52.83;51.85;50.60
