date,value
03.01.2017,17968
06.01.2017,17933
09.01.2017,17911
10.01.2017,17578
11.01.2017,17245
12.01.2017,17118
13.01.2017,17353
16.01.2017,17328
17.01.2017,16905
18.01.2017,16597
19.01.2017,16111
20.01.2017,16840
23.01.2017,17119
24.01.2017,17133
25.01.2017,16991
26.01.2017,17459
27.01.2017,17109
30.01.2017,17346
31.01.2017,17644
01.02.2017,17693
02.02.2017,18192
03.02.2017,18108
06.02.2017,17228
07.02.2017,16926
08.02.2017,16850
09.02.2017,16958
10.02.2017,17429
13.02.2017,16692
14.02.2017,16777
15.02.2017,16482
16.02.2017,15978
17.02.2017,16100
20.02.2017,16626
21.02.2017,16778
24.02.2017,16610
27.02.2017,16604
28.02.2017,16342
01.03.2017,16791
02.03.2017,16304
03.03.2017,16402
06.03.2017,16563
08.03.2017,16356
09.03.2017,16091
10.03.2017,15780
13.03.2017,14828
14.03.2017,14626
15.03.2017,14575
16.03.2017,14932
17.03.2017,14614
20.03.2017,14532
21.03.2017,14356
22.03.2017,13555
23.03.2017,13667
24.03.2017,13771
27.03.2017,13690
28.03.2017,13626
29.03.2017,13602
30.03.2017,14243
31.03.2017,14496
03.04.2017,14450
04.04.2017,15065
05.04.2017,15193
06.04.2017,15415
07.04.2017,15587
10.04.2017,15996
11.04.2017,16584
12.04.2017,16410
13.04.2017,16344
14.04.2017,16294
17.04.2017,16487
18.04.2017,16473
19.04.2017,15996
20.04.2017,15801
21.04.2017,14810
24.04.2017,14753
25.04.2017,14751
26.04.2017,14675
27.04.2017,14417
01.05.2017,15019
02.05.2017,14616
03.05.2017,14267
04.05.2017,13660
09.05.2017,13979
10.05.2017,14626
11.05.2017,14921
12.05.2017,14570
15.05.2017,15355
16.05.2017,15298
17.05.2017,15478
18.05.2017,15693
19.05.2017,16334
22.05.2017,16349
23.05.2017,16016
24.05.2017,16106
25.05.2017,15585
26.05.2017,14937
29.05.2017,15177
30.05.2017,15107
31.05.2017,14416
01.06.2017,14964
02.06.2017,14366
05.06.2017,14079
06.06.2017,14143
07.06.2017,13722
08.06.2017,13438
12.06.2017,14037
13.06.2017,13792
14.06.2017,13117
15.06.2017,13235
16.06.2017,13369
19.06.2017,13571
20.06.2017,12819
21.06.2017,13121
22.06.2017,13519
23.06.2017,13450
26.06.2017,13372
27.06.2017,13993
28.06.2017,14119
29.06.2017,14570
14.07.2017,15245
17.07.2017,15224
18.07.2017,15332
19.07.2017,15866
20.07.2017,15834
21.07.2017,15362
24.07.2017,15345
25.07.2017,16257
26.07.2017,16615
27.07.2017,17074
28.07.2017,17447
31.07.2017,17494
01.08.2017,17256
02.08.2017,17795
03.08.2017,18312
04.08.2017,18115
07.08.2017,17520
08.08.2017,17897
09.08.2017,17835
10.08.2017,18042
11.08.2017,17570
14.08.2017,17591
15.08.2017,16734
16.08.2017,16394
17.08.2017,16132
18.08.2017,16309
21.08.2017,16482
22.08.2017,16518
23.08.2017,16542
24.08.2017,16419
25.08.2017,16319
28.08.2017,16322
29.08.2017,15846
30.08.2017,15887
31.08.2017,16383
01.09.2017,16427
04.09.2017,16168
05.09.2017,16585
06.09.2017,16974
07.09.2017,16584
08.09.2017,16533
11.09.2017,16097
12.09.2017,16566
13.09.2017,16862
14.09.2017,17386
15.09.2017,17273
18.09.2017,16516
19.09.2017,16887
20.09.2017,17532
21.09.2017,17631
22.09.2017,17785
25.09.2017,18381
26.09.2017,18295
27.09.2017,18094
28.09.2017,18078
29.09.2017,17969
02.10.2017,17461
03.10.2017,17822
04.10.2017,17887
05.10.2017,18320
06.10.2017,17251
09.10.2017,17386
10.10.2017,18031
11.10.2017,18114
12.10.2017,17266
13.10.2017,17718
16.10.2017,17988
17.10.2017,17148
18.10.2017,17392
19.10.2017,17218
20.10.2017,17257
23.10.2017,17150
24.10.2017,17223
25.10.2017,17503
26.10.2017,17908
27.10.2017,18759
30.10.2017,18935
31.10.2017,19273
01.11.2017,19422
02.11.2017,19215
06.11.2017,21160
07.11.2017,21208
08.11.2017,21180
09.11.2017,21657
10.11.2017,21599
13.11.2017,21186
14.11.2017,20297
15.11.2017,20691
16.11.2017,20158
17.11.2017,20362
20.11.2017,19856
21.11.2017,19982
22.11.2017,20330
23.11.2017,20400
24.11.2017,20354
27.11.2017,20381
28.11.2017,20245
29.11.2017,20135
30.11.2017,20122
01.12.2017,20827
04.12.2017,20246
05.12.2017,20395
06.12.2017,19729
07.12.2017,20040
08.12.2017,20901
11.12.2017,21512
12.12.2017,21317
13.12.2017,20498
14.12.2017,20811
15.12.2017,20640
19.12.2017,20187
20.12.2017,20631
21.12.2017,20754
22.12.2017,20634
25.12.2017,20538
26.12.2017,20493
27.12.2017,21244
28.12.2017,21145
08.01.2018,21816
09.01.2018,21821
10.01.2018,21889
11.01.2018,22252
12.01.2018,22704
15.01.2018,22109
16.01.2018,21712
17.01.2018,21725
18.01.2018,21407
19.01.2018,21478
22.01.2018,21434
23.01.2018,21450
24.01.2018,21525
25.01.2018,21982
26.01.2018,21593
29.01.2018,20747
30.01.2018,20619
31.01.2018,20868
01.02.2018,21059
02.02.2018,20331
05.02.2018,20357
06.02.2018,19900
07.02.2018,19525
08.02.2018,18610
09.02.2018,18454
12.02.2018,18341
13.02.2018,18594
14.02.2018,18286
15.02.2018,18686
16.02.2018,18522
19.02.2018,18755
20.02.2018,18704
21.02.2018,18683
23.02.2018,19507
26.02.2018,19789
27.02.2018,19102
28.02.2018,18822
01.03.2018,18069
02.03.2018,17985
05.03.2018,18663
06.03.2018,19028
09.03.2018,18366
12.03.2018,18419
13.03.2018,17980
14.03.2018,18050
15.03.2018,18539
16.03.2018,19547
19.03.2018,19855
20.03.2018,20596
21.03.2018,21412
22.03.2018,21487
